"Player","Shift Rate (2022)","Donors","Est_2023_OBP","Est_2024_OBP","p_OBP","Est_2023_OPS","Est_2024_OPS","p_OPS","Est_2023_wOBA","Est_2024_wOBA","p_wOBA"
"Christian Yelich","30.6%","13.000"," 0.043"," 0.089","0.070","-0.008"," 0.209","0.140","-0.001"," 0.083","0.116"
"Jonathan India","29.0%","42.000"," 0.007"," 0.013","0.674"," 0.013"," 0.036","0.767","-0.005"," 0.032","0.651"
"Josh Rojas","25.4%","42.000","-0.053","-0.025","0.209","-0.112","-0.071","0.186","-0.037","-0.026","0.209"
"Willy Adames","24.7%","22.000","-0.004"," 0.034","0.488","-0.009"," 0.019","0.953","-0.004"," 0.008","0.930"
"Mark Canha","23.8%","22.000"," 0.017"," 0.047","0.233","-0.027","-0.095","0.326"," 0.013","-0.025","0.884"
"Alex Verdugo","23.5%","27.000"," 0.004","-0.030","0.651"," 0.002","-0.094","0.581"," 0.001","-0.022","0.744"
"Harrison Bader","23.3%","22.000","-0.043","-0.035","0.209","-0.070"," 0.006","0.674","-0.027"," 0.007","0.744"
"Jake Cronenworth","23.1%","42.000","-0.016"," 0.004","0.837","-0.045"," 0.006","0.837","-0.018"," 0.005","0.860"
"Jeff McNeil","22.1%","27.000","-0.012","-0.024","0.488","-0.024","-0.014","0.837","-0.004","-0.005","0.907"
"Ha-Seong Kim","22.0%","42.000"," 0.032"," 0.017","0.326"," 0.051"," 0.017","0.674"," 0.024"," 0.006","0.605"
"Matt Chapman","19.8%","18.000"," 0.009","-0.006","0.953"," 0.038"," 0.064","0.512"," 0.016"," 0.033","0.349"
"Giancarlo Stanton","19.5%","13.000","-0.024"," 0.019","0.907","-0.132"," 0.029","0.488","-0.046"," 0.013","0.581"
"Will Smith","19.4%","42.000"," 0.021","-0.026","0.930"," 0.024","-0.027","1.000"," 0.012","-0.006","0.907"
"Manny Machado","18.6%","13.000","-0.024"," 0.006","0.698","-0.014"," 0.043","0.860","-0.008"," 0.013","0.930"
"Nathaniel Lowe","18.2%","42.000"," 0.020"," 0.033","0.326","-0.014"," 0.046","0.860"," 0.009"," 0.029","0.558"
"Austin Hays","18.1%","42.000","-0.004","-0.021","0.651"," 0.043"," 0.012","0.744"," 0.013","-0.007","0.907"
"J.P. Crawford","16.3%","27.000"," 0.027","-0.025","0.977"," 0.124","-0.038","0.628"," 0.048","-0.006","0.535"
"Brandon Nimmo","15.3%","22.000"," 0.043","-0.020","0.651"," 0.063"," 0.035","0.535"," 0.040","-0.018","0.744"
"Ramón Laureano","15.1%","27.000"," 0.003","-0.016","0.837"," 0.058"," 0.193","0.070"," 0.020"," 0.077","0.093"
