"unit","OBP_weight","OPS_weight","wOBA_weight"
"Starling Marte","63","NA","NA"
"Carlos Correa","37","20","21"
"Jean Segura","NA","10","25"
"José Abreu","NA","NA"," 8"
"Paul Goldschmidt","NA"," 5","NA"
"Trea Turner","NA","60","46"
"Yan Gomes","NA"," 6","NA"
