"unit","OBP_weight","OPS_weight","wOBA_weight"
"Starling Marte","63","NA","NA"
"Carlos Correa","37","NA","21"
"Javier Báez","NA","18","NA"
"Justin Turner","NA","18","NA"
"Paul Goldschmidt","NA"," 7","NA"
"Trea Turner","NA","57","68"
"Whit Merrifield","NA","NA","12"
