"Player","Shift Rate (2022)","Donors","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%",20," 0.065","0.034"," 0.226","0.017"," 0.080","0.017"
"Kyle Tucker","90.9%",58," 0.041","0.169"," 0.101","0.220"," 0.036","0.220"
"Kyle Schwarber","90.7%",14," 0.004","0.881"," 0.072","0.373"," 0.026","0.373"
"Cody Bellinger","90.5%",26," 0.043","0.153"," 0.142","0.085"," 0.055","0.085"
"Joey Gallo","90.0%",26,"-0.018","0.441"," 0.013","0.898","-0.003","0.949"
"Max Kepler","89.7%",19," 0.023","0.356"," 0.137","0.085"," 0.063","0.068"
"Max Muncy","89.0%",32,"-0.011","0.644","-0.046","0.593","-0.015","0.644"
"Seth Brown","88.6%",58,"-0.027","0.288","-0.033","0.644","-0.012","0.712"
"Shohei Ohtani","88.3%",32," 0.078","0.017"," 0.245","0.017"," 0.083","0.017"
"Yordan Alvarez","88.1%",41," 0.022","0.356"," 0.159","0.068"," 0.073","0.051"
"Brandon Lowe","85.3%",41," 0.009","0.678"," 0.025","0.695"," 0.013","0.678"
"Brandon Belt","85.2%",14," 0.039","0.169"," 0.091","0.305"," 0.040","0.169"
"Eddie Rosario","83.6%",14," 0.002","0.915"," 0.027","0.695"," 0.010","0.780"
"Cavan Biggio","82.8%",41,"-0.005","0.814"," 0.025","0.695","-0.004","0.932"
"Anthony Rizzo","82.6%",14,"-0.013","0.576","-0.055","0.475","-0.015","0.644"
"Matt Olson","81.3%",32," 0.074","0.034"," 0.218","0.017"," 0.080","0.017"
"Mike Yastrzemski","81.2%",41," 0.014","0.542"," 0.005","1.000"," 0.009","0.780"
"Eugenio Suárez","80.9%",14," 0.008","0.712","-0.037","0.644","-0.008","0.831"
"Byron Buxton","78.8%",20,"-0.014","0.542","-0.037","0.644","-0.014","0.644"
"Rowdy Tellez","78.4%",41,"-0.027","0.288","-0.027","0.695","-0.031","0.305"
"Carlos Santana","78.2%",14,"-0.008","0.695"," 0.030","0.678"," 0.009","0.814"
"Jorge Soler","78.0%",14," 0.021","0.356"," 0.096","0.254"," 0.039","0.186"
"José Ramírez","77.3%",14," 0.059","0.051"," 0.104","0.220"," 0.048","0.102"
"Josh Naylor","77.1%",41," 0.038","0.186"," 0.161","0.068"," 0.056","0.085"
"Joc Pederson","77.0%",14," 0.026","0.322","-0.004","1.000","-0.001","0.983"
"Daniel Vogelbach","76.4%",41," 0.006","0.746"," 0.010","0.915"," 0.013","0.644"
"Bryce Harper","75.7%",14," 0.041","0.169"," 0.090","0.305"," 0.034","0.254"
"Salvador Perez","75.6%",14,"-0.017","0.458"," 0.063","0.424"," 0.020","0.559"
"Marcus Semien","75.3%",14," 0.019","0.407"," 0.163","0.068"," 0.060","0.068"
"Ozzie Albies","75.1%",32," 0.040","0.169"," 0.160","0.068"," 0.061","0.068"
