"unit","OBP_weight","OPS_weight","wOBA_weight"
"Carlos Correa","49","NA","42"
"C.J. Cron","35","57","33"
"DJ LeMahieu","10","NA","NA"
"Starling Marte"," 6","NA","NA"
"Jean Segura","NA","11","26"
"Nolan Arenado","NA","32","NA"
