"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2016,"Coghlan, Chris",112,"L",279,66,"23.7",".238",213,"76.3",".276"
2016,"Ross, David",112,"R",197,39,"19.8",".214",158,"80.2",".358"
2016,"Bryant, Kris",112,"R",679,297,"43.7",".365",382,"56.3",".417"
2016,"Báez, Javier",112,"R",432,111,"25.7",".305",321,"74.3",".324"
2016,"Fowler, Dexter",112,"L",395,98,"24.8",".389",297,"75.2",".351"
2016,"Rizzo, Anthony",112,"L",646,476,"73.7",".376",170,"26.3",".434"
2016,"Heyward, Jason",112,"L",577,168,"29.1",".306",409,"70.9",".271"
2016,"Russell, Addison",112,"R",579,36,"6.2",".339",543,"93.8",".316"
2016,"Zobrist, Ben",112,"L",451,108,"23.9",".354",343,"76.1",".360"
2016,"Soler, Jorge",112,"R",255,51,"20.0",".420",204,"80.0",".323"
2016,"Montero, Miguel",112,"L",267,88,"33.0",".330",179,"67.0",".284"
2016,"Duda, Lucas",121,"L",166,152,"91.6",".289",14,"8.4",".350"
2016,"Johnson, Kelly",121,"L",327,97,"29.7",".255",230,"70.3",".315"
2016,"Loney, James",121,"L",356,111,"31.2",".334",245,"68.8",".285"
2016,"Granderson, Curtis",121,"L",619,473,"76.4",".344",146,"23.6",".303"
2016,"Conforto, Michael",121,"L",336,238,"70.8",".310",98,"29.2",".267"
2016,"Walker, Neil",121,"L",339,131,"38.6",".383",208,"61.4",".302"
2016,"Cespedes, Yoenis",121,"R",525,150,"28.6",".379",375,"71.4",".362"
2016,"Cabrera, Asdrúbal",121,"L",436,132,"30.3",".308",304,"69.7",".362"
2016,"Bruce, Jay",121,"L",569,431,"75.7",".321",138,"24.3",".423"
2016,"Miller, Brad",139,"L",590,120,"20.3",".386",470,"79.7",".317"
2016,"Conger, Hank",139,"L",127,98,"77.2",".236",29,"22.8",".277"
