"year","name","team_id","bat_side","total_pa","pa_shades","pa_shade_percent","woba_shade","pa_non_shades","pa_non_shade_percent","woba_non_shade"
2024,"Berti, Jon",147,"R",74,0,"0.0",".000",74,"100.0",".300"
2024,"Marchán, Rafael",143,"R",24,0,"0.0",".000",24,"100.0",".378"
2024,"Berroa, Steward",141,"R",11,0,"0.0",".000",11,"100.0",".303"
2024,"Arias, Gabriel",114,"R",161,0,"0.0",".000",161,"100.0",".263"
2024,"Nuñez, Nasim",120,"R",32,0,"0.0",".000",32,"100.0",".333"
2024,"Robinson, Chuckie",145,"R",76,0,"0.0",".000",76,"100.0",".159"
2024,"Baldwin, Brooks",145,"R",31,0,"0.0",".000",31,"100.0",".251"
2024,"Madrigal, Nick",112,"R",94,2,"2.1",".000",92,"97.9",".250"
2024,"Candelario, Jeimer",113,"R",147,2,"1.4",".345",145,"98.6",".292"
2024,"López, Jack",108,"R",71,2,"2.8","1.025",69,"97.2",".255"
2024,"Caratini, Victor",117,"R",62,2,"3.2",".882",60,"96.8",".336"
2024,"Rosario, Eguy",135,"R",54,2,"3.7",".627",52,"96.3",".354"
2024,"Profar, Jurickson",135,"R",171,2,"1.2",".345",169,"98.8",".375"
2024,"Feduccia, Hunter",119,"L",14,2,"14.3",".345",12,"85.7",".351"
2024,"Lopez, Otto",146,"R",433,2,"0.5",".441",431,"99.5",".302"
2024,"Edwards, Xavier",146,"R",94,2,"2.1",".345",92,"97.9",".340"
2024,"Hill, Derek",146,"R",171,2,"1.2",".000",169,"98.8",".296"
2024,"Soto, Livan",110,"L",16,2,"12.5",".345",14,"87.5",".314"
2024,"Wendzel, Davis",140,"R",49,2,"4.1",".000",47,"95.9",".183"
2024,"Gonzalez, Romy",111,"R",216,2,"0.9",".000",214,"99.1",".314"
2024,"Sogard, Nick",111,"R",19,2,"10.5",".627",17,"89.5",".237"
2024,"Romo, Drew",115,"R",18,2,"11.1",".000",16,"88.9",".208"
2024,"Narvaez, Carlos",147,"R",15,2,"13.3",".785",13,"86.7",".189"
2024,"Kennedy, Buddy",143,"R",26,2,"7.7",".345",24,"92.3",".297"
2024,"Hernaiz, Darell",133,"R",135,2,"1.5",".627",133,"98.5",".224"
2024,"Lipscomb, Trey",120,"R",211,2,"0.9",".785",209,"99.1",".226"
2024,"Baker, Darren",120,"L",14,2,"14.3",".441",12,"85.7",".503"
2024,"Nido, Tomás",112,"R",140,3,"2.1",".000",137,"97.9",".236"
2024,"Maile, Luke",113,"R",152,3,"2.0",".712",149,"98.0",".230"
2024,"Wiemer, Joey",113,"R",28,3,"10.7",".294",25,"89.3",".161"
2024,"Rosario, Amed",113,"R",346,3,"0.9",".418",343,"99.1",".298"
2024,"Short, Zack",144,"R",88,3,"3.4",".418",85,"96.6",".222"
2024,"Tromp, Chadwick",144,"R",54,3,"5.6",".000",51,"94.4",".282"
2024,"Sánchez, Ali",146,"R",96,3,"3.1",".000",93,"96.9",".190"
2024,"Cook, Billy",134,"R",49,3,"6.1",".000",46,"93.9",".303"
2024,"Williams, Alika",134,"R",95,3,"3.2",".000",92,"96.8",".248"
2024,"Reyes, Pablo",111,"R",64,3,"4.7",".000",61,"95.3",".217"
2024,"Cabrera, Oswaldo",147,"R",67,3,"4.5",".418",64,"95.5",".192"
2024,"Rojas, Johan",143,"R",361,3,"0.8",".683",358,"99.2",".261"
2024,"Clase, Jonatan",141,"R",27,3,"11.1",".952",24,"88.9",".140"
