"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2018,"Schwarber, Kyle",112,"L",490,316,"64.5",".380",174,"35.5",".276"
2018,"Báez, Javier",112,"R",636,50,"7.9",".345",586,"92.1",".369"
2018,"Zobrist, Ben",112,"L",382,47,"12.3",".444",335,"87.7",".341"
2018,"Bryant, Kris",112,"R",450,195,"43.3",".364",255,"56.7",".354"
2018,"Heyward, Jason",112,"L",486,90,"18.5",".308",396,"81.5",".323"
2018,"Happ, Ian",112,"L",335,90,"26.9",".294",245,"73.1",".370"
2018,"Murphy, Daniel",112,"L",349,30,"8.6",".237",319,"91.4",".347"
2018,"Rizzo, Anthony",112,"L",649,406,"62.6",".365",243,"37.4",".350"
2018,"McNeil, Jeff",121,"L",242,47,"19.4",".350",195,"80.6",".372"
2018,"Bruce, Jay",121,"L",356,274,"77.0",".272",82,"23.0",".381"
2018,"Mesoraco, Devin",121,"R",271,101,"37.3",".255",170,"62.7",".330"
2018,"Conforto, Michael",121,"L",625,352,"56.3",".319",273,"43.7",".379"
2018,"Cespedes, Yoenis",121,"R",155,63,"40.6",".287",92,"59.4",".384"
2018,"Smith, Dominic",121,"L",148,106,"71.6",".273",42,"28.4",".300"
2018,"Nimmo, Brandon",121,"L",533,64,"12.0",".376",469,"88.0",".387"
2018,"Frazier, Todd",121,"R",466,209,"44.8",".297",257,"55.2",".308"
2018,"González, Adrián",121,"L",181,64,"35.4",".242",117,"64.6",".303"
2018,"Wendle, Joey",139,"L",541,45,"8.3",".397",496,"91.7",".332"
2018,"Kiermaier, Kevin",139,"L",365,95,"26.0",".274",270,"74.0",".284"
2018,"Meadows, Austin",139,"L",189,56,"29.6",".243",133,"70.4",".369"
2018,"Cron, C.J.",139,"R",558,81,"14.5",".352",477,"85.5",".346"
2018,"Pham, Tommy",139,"R",568,30,"5.3",".414",538,"94.7",".356"
2018,"Choi, Ji Man",139,"L",220,72,"32.7",".361",148,"67.3",".370"
2018,"Lowe, Brandon",139,"L",148,24,"16.2",".206",124,"83.8",".358"
2018,"Gómez, Carlos",139,"R",408,27,"6.6",".116",381,"93.4",".297"
2018,"Bauers, Jake",139,"L",388,188,"48.5",".276",200,"51.5",".337"
2018,"Williams, Mason",113,"L",131,24,"18.3",".389",107,"81.7",".298"
2018,"Votto, Joey",113,"L",616,159,"25.8",".369",457,"74.2",".371"
2018,"Suárez, Eugenio",113,"R",599,148,"24.7",".339",451,"75.3",".389"
2018,"Gennett, Scooter",113,"L",635,47,"7.4",".476",588,"92.6",".352"
2018,"Schebler, Scott",113,"L",429,124,"28.9",".365",305,"71.1",".325"
2018,"Barnhart, Tucker",113,"L",399,59,"14.8",".245",340,"85.2",".308"
2018,"Winker, Jesse",113,"L",329,60,"18.2",".379",269,"81.8",".361"
2018,"Rosario, Eddie",142,"L",576,266,"46.2",".303",310,"53.8",".376"
2018,"Polanco, Jorge",142,"L",224,111,"49.6",".375",113,"50.4",".360"
2018,"Castro, Jason",142,"L",63,24,"38.1",".239",39,"61.9",".246"
2018,"Mauer, Joe",142,"L",526,50,"9.5",".254",476,"90.5",".326"
2018,"Sanó, Miguel",142,"R",288,29,"10.1",".295",259,"89.9",".296"
2018,"Morrison, Logan",142,"L",348,259,"74.4",".292",89,"25.6",".286"
2018,"Adrianza, Ehire",142,"L",269,41,"15.2",".325",228,"84.8",".285"
2018,"Cave, Jake",142,"L",307,43,"14.0",".328",264,"86.0",".333"
2018,"Austin, Tyler",142,"R",268,45,"16.8",".524",223,"83.2",".285"
2018,"Grossman, Robbie",142,"L",302,69,"22.8",".256",233,"77.2",".330"
2018,"Kepler, Max",142,"L",602,193,"32.1",".373",409,"67.9",".288"
2018,"Marte, Jefry",108,"R",209,45,"21.5",".234",164,"78.5",".294"
2018,"Valbuena, Luis",108,"L",285,201,"70.5",".238",84,"29.5",".288"
2018,"Cowart, Kaleb",108,"L",95,50,"52.6",".115",45,"47.4",".303"
2018,"Simmons, Andrelton",108,"R",597,41,"6.9",".380",556,"93.1",".321"
2018,"Trout, Mike",108,"R",583,172,"29.5",".417",411,"70.5",".459"
2018,"Ohtani, Shohei",108,"L",364,170,"46.7",".321",194,"53.3",".450"
2018,"Upton, Justin",108,"R",612,103,"16.8",".397",509,"83.2",".338"
2018,"Calhoun, Kole",108,"L",549,401,"73.0",".274",148,"27.0",".309"
2018,"Pujols, Albert",108,"R",495,222,"44.8",".295",273,"55.2",".303"
2018,"Young, Chris",108,"R",128,58,"45.3",".210",70,"54.7",".317"
2018,"Cozart, Zack",108,"R",253,46,"18.2",".287",207,"81.8",".290"
2018,"Gattis, Evan",117,"R",449,62,"13.8",".435",387,"86.2",".291"
2018,"Reddick, Josh",117,"L",482,141,"29.3",".362",341,"70.7",".290"
2018,"Fisher, Derek",117,"L",86,20,"23.3",".159",66,"76.7",".279"
2018,"Bregman, Alex",117,"R",703,132,"18.8",".402",571,"81.2",".394"
2018,"Maldonado, Martín",117,"R",404,30,"7.4",".333",374,"92.6",".270"
2018,"McCann, Brian",117,"L",216,146,"67.6",".266",70,"32.4",".327"
2018,"Springer, George",117,"R",617,27,"4.4",".311",590,"95.6",".341"
2018,"Gonzalez, Marwin",117,"L",368,96,"26.1",".374",272,"73.9",".298"
2018,"Freeman, Freddie",144,"L",694,464,"66.9",".366",230,"33.1",".404"
2018,"Tucker, Preston",144,"L",183,101,"55.2",".274",82,"44.8",".348"
2018,"Duvall, Adam",144,"R",424,155,"36.6",".267",269,"63.4",".284"
2018,"Albies, Ozzie",144,"L",485,145,"29.9",".249",340,"70.1",".322"
2018,"Markakis, Nick",144,"L",694,34,"4.9",".362",660,"95.1",".344"
2018,"Suzuki, Kurt",144,"R",387,73,"18.9",".354",314,"81.1",".331"
2018,"Camargo, Johan",144,"L",365,33,"9.0",".328",332,"91.0",".347"
2018,"Duda, Lucas",144,"L",365,306,"83.8",".315",59,"16.2",".320"
2018,"Acuña Jr., Ronald",144,"R",485,160,"33.0",".436",325,"67.0",".364"
2018,"Belt, Brandon",137,"L",450,340,"75.6",".319",110,"24.4",".351"
2018,"Crawford, Brandon",137,"L",581,59,"10.2",".385",522,"89.8",".297"
2018,"Longoria, Evan",137,"R",509,116,"22.8",".336",393,"77.2",".282"
2018,"Myers, Wil",135,"R",341,53,"15.5",".382",288,"84.5",".316"
2018,"Asuaje, Carlos",135,"L",212,67,"31.6",".262",145,"68.4",".254"
2018,"Renfroe, Hunter",135,"R",435,120,"27.6",".352",315,"72.4",".335"
2018,"Villanueva, Christian",135,"R",368,86,"23.4",".249",282,"76.6",".354"
2018,"Hedges, Austin",135,"R",323,32,"9.9",".206",291,"90.1",".312"
2018,"Lopez, Raffy",135,"L",107,29,"27.1",".158",78,"72.9",".240"
2018,"Hosmer, Eric",135,"L",651,67,"10.3",".358",584,"89.7",".300"
2018,"Goodwin, Brian",118,"L",180,43,"23.9",".322",137,"76.1",".308"
2018,"Perez, Salvador",118,"R",544,130,"23.9",".260",414,"76.1",".318"
2018,"Gordon, Alex",118,"L",564,324,"57.4",".300",240,"42.6",".310"
2018,"Soler, Jorge",118,"R",257,31,"12.1",".372",226,"87.9",".352"
2018,"O'Hearn, Ryan",118,"L",170,28,"16.5",".536",142,"83.5",".371"
2018,"Dozier, Hunter",118,"R",388,28,"7.2",".126",360,"92.8",".303"
2018,"Phillips, Brett",118,"L",147,30,"20.4",".224",117,"79.6",".252"
2018,"Castellanos, Nick",116,"R",673,126,"18.7",".384",547,"81.3",".358"
2018,"Jones, JaCoby",116,"R",467,38,"8.1",".417",429,"91.9",".261"
