"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2021,"Ortega, Rafael",112,"L",329,165,"50.2",".367",164,"49.8",".342"
2021,"Heyward, Jason",112,"L",348,272,"78.2",".270",76,"21.8",".295"
2021,"Happ, Ian",112,"L",406,269,"66.3",".324",137,"33.7",".361"
2021,"Wisdom, Patrick",112,"R",373,134,"35.9",".386",239,"64.1",".322"
2021,"Nimmo, Brandon",121,"L",384,174,"45.3",".383",210,"54.7",".361"
2021,"Lindor, Francisco",121,"L",357,128,"35.9",".286",229,"64.1",".340"
2021,"Pillar, Kevin",121,"R",346,67,"19.4",".283",279,"80.6",".301"
2021,"McCann, James",121,"R",411,89,"21.7",".267",322,"78.3",".285"
2021,"Conforto, Michael",121,"L",474,332,"70.0",".331",142,"30.0",".290"
2021,"Báez, Javier",121,"R",540,75,"13.9",".464",465,"86.1",".326"
2021,"Smith, Dominic",121,"L",489,335,"68.5",".273",154,"31.5",".319"
2021,"Villar, Jonathan",121,"L",344,83,"24.1",".316",261,"75.9",".326"
2021,"Alonso, Pete",121,"R",629,263,"41.8",".354",366,"58.2",".368"
2021,"McNeil, Jeff",121,"L",424,224,"52.8",".331",200,"47.2",".266"
2021,"Choi, Ji Man",139,"L",303,249,"82.2",".327",54,"17.8",".379"
2021,"Lowe, Brandon",139,"L",604,503,"83.3",".368",101,"16.7",".321"
2021,"Wendle, Joey",139,"L",493,135,"27.4",".306",358,"72.6",".313"
2021,"Cruz, Nelson",139,"R",570,99,"17.4",".306",471,"82.6",".356"
2021,"Arozarena, Randy",139,"R",593,55,"9.3",".326",538,"90.7",".354"
2021,"Kiermaier, Kevin",139,"L",385,188,"48.8",".327",197,"51.2",".299"
2021,"Zunino, Mike",139,"R",370,304,"82.2",".386",66,"17.8",".246"
2021,"Phillips, Brett",139,"L",288,199,"69.1",".307",89,"30.9",".322"
2021,"Meadows, Austin",139,"L",582,459,"78.9",".311",123,"21.1",".391"
2021,"Naquin, Tyler",113,"L",452,259,"57.3",".318",193,"42.7",".383"
2021,"India, Jonathan",113,"R",630,110,"17.5",".408",520,"82.5",".353"
2021,"Winker, Jesse",113,"L",484,339,"70.0",".425",145,"30.0",".352"
2021,"Barnhart, Tucker",113,"L",387,254,"65.6",".304",133,"34.4",".294"
2021,"Suárez, Eugenio",113,"R",574,331,"57.7",".306",243,"42.3",".306"
