"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","woba","xwoba","pull_percent","straightaway_percent","opposite_percent","batted_ball"
"Pollock, AJ","572041","2020","196","210","54","29","9","0","16",21.4,5.7,".276",".566",".314","0.880",".277",".364",".345",43.1,30.1,26.8,"153"
"Arenado, Nolan","571448","2020","182","201","46","29","9","0","8",10,7.5,".253",".434",".303","0.737",".241",".308",".288",39.8,36.1,24.1,"166"
"Caratini, Victor","605170","2020","116","132","28","20","7","0","1",23.5,9.1,".241",".328",".333","0.661",".321",".297",".285",32.9,48.2,18.8,"85"
"Taylor, Chris","621035","2020","185","214","50","30","10","2","8",25.7,12.1,".270",".476",".366","0.842",".344",".364",".371",31.3,40.5,28.2,"131"
"Cave, Jake","595909","2020","113","123","25","16","3","2","4",35.8,4.1,".221",".389",".285","0.674",".323",".293",".272",34.8,39.1,26.1,"69"
"Moran, Colin","592567","2020","178","200","44","24","10","0","10",26,9.5,".247",".472",".325","0.797",".291",".340",".350",39.4,37,23.6,"127"
"Kieboom, Carter","666198","2020","99","122","20","19","1","0","0",27,13.9,".202",".212",".344","0.556",".299",".275",".274",29.9,37.3,32.8,"67"
"Canha, Mark","592192","2020","191","243","47","28","12","2","5",22.2,15.2,".246",".408",".387","0.795",".307",".351",".359",39.4,38.7,21.8,"142"
"Jones, JaCoby","592444","2020","97","108","26","12","9","0","5",31.5,6.5,".268",".515",".333","0.848",".356",".358",".321",37.5,39.1,23.4,"64"
"Peralta, David","444482","2020","203","218","61","45","10","1","5",20.6,6,".300",".433",".339","0.772",".361",".333",".299",38.1,34.4,27.5,"160"
"Solano, Donovan","456781","2020","190","203","62","43","15","1","3",19.2,4.9,".326",".463",".365","0.828",".396",".357",".320",33.6,36.8,29.6,"152"
"Soto, Juan","665742","2020","154","196","54","27","14","0","13",14.3,20.9,".351",".695",".490","1.185",".363",".478",".475",27,46.8,26.2,"126"
