"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","woba","xwoba","pull_percent","straightaway_percent","opposite_percent","batted_ball"
"Arcia, Orlando","606115","2020","173","189","45","29","10","1","5",16.9,7.4,".260",".416",".317","0.733",".292",".317",".338",33.1,43.7,23.2,"142"
"Frazier, Todd","453943","2020","157","172","37","23","9","1","4",24.4,6.4,".236",".382",".302","0.684",".297",".300",".294",40.9,41.7,17.4,"115"
"Alfaro, Jorge","595751","2020","93","100","21","16","2","0","3",36,4,".226",".344",".280","0.624",".333",".271",".283",17.5,38.6,43.9,"57"
"Albies, Ozzie","645277","2020","118","124","32","21","5","0","6",24.2,4,".271",".466",".306","0.772",".317",".329",".294",40.9,37.5,21.6,"88"
"Jansen, Danny","643376","2020","120","147","22","13","3","0","6",21.1,14.3,".183",".358",".313","0.671",".190",".300",".354",29,44.1,26.9,"93"
"Crawford, Brandon","543063","2020","172","193","44","24","12","0","8",24.4,7.8,".256",".465",".326","0.791",".303",".334",".309",46.5,40.2,13.4,"127"
"Odor, Rougned","596059","2020","138","148","23","9","4","0","10",31.8,4.7,".167",".413",".209","0.622",".157",".259",".282",43,36.6,20.4,"93"
"Suárez, Eugenio","553993","2020","198","231","40","17","8","0","15",29,13,".202",".470",".312","0.782",".214",".332",".342",51.5,31.1,17.4,"132"
"Correa, Carlos","621043","2020","201","221","53","39","9","0","5",22.2,7.2,".264",".383",".326","0.709",".324",".308",".315",49,28.1,22.9,"153"
"Gurriel, Yuli","493329","2020","211","230","49","30","12","1","6",11.7,5.2,".232",".384",".274","0.658",".235",".281",".318",33.3,38.1,28.6,"189"
"Carlson, Dylan","666185","2020","110","119","22","11","7","1","3",29.4,6.7,".200",".364",".252","0.616",".260",".264",".314",35.5,38.2,26.3,"76"
"Meadows, Austin","640457","2020","132","152","27","14","8","1","4",32.9,11.2,".205",".371",".296","0.667",".287",".292",".278",41.7,39.3,19,"84"
"Schwarber, Kyle","656941","2020","191","224","36","19","6","0","11",29.5,13.4,".188",".393",".308","0.701",".219",".307",".340",44.8,36,19.2,"125"
"Votto, Joey","458015","2020","186","223","42","23","8","0","11",19.3,16.6,".226",".446",".354","0.800",".235",".347",".369",40.6,35,24.5,"143"
"Grisham, Trent","663757","2020","215","252","54","33","8","3","10",25.4,12.3,".251",".456",".352","0.808",".310",".349",".368",43.8,33.3,22.9,"153"
"Stallings, Jacob","607732","2020","125","143","31","21","7","0","3",28,10.5,".248",".376",".326","0.702",".337",".309",".277",37.5,28.4,34.1,"88"
"Bohm, Alec","664761","2020","160","180","54","39","11","0","4",20,8.9,".338",".481",".400","0.881",".410",".381",".357",28.6,46.8,24.6,"126"
"Chavis, Michael","656308","2020","146","158","31","19","5","2","5",31.6,5.1,".212",".377",".259","0.636",".280",".272",".294",38.8,41.8,19.4,"98"
"Urías, Luis","649966","2020","109","120","26","21","4","1","0",26.7,8.3,".239",".294",".308","0.602",".338",".273",".270",36.4,36.4,27.3,"77"
"Ohtani, Shohei","660271","2020","153","175","29","16","6","0","7",28.6,12.6,".190",".366",".291","0.657",".229",".290",".331",40.8,36.9,22.3,"103"
"Nimmo, Brandon","607043","2020","186","225","52","33","8","3","8",19.1,14.7,".280",".484",".404","0.888",".326",".387",".359",33.6,30.8,35.7,"143"
"González, Erik","570481","2020","181","193","41","24","13","1","3",26.4,4.1,".227",".359",".255","0.614",".292",".262",".293",32.1,38.1,29.9,"134"
"Trout, Mike","545361","2020","199","241","56","28","9","2","17",23.2,14.5,".281",".603",".390","0.993",".300",".407",".428",34.7,36.7,28.6,"147"
"Cabrera, Miguel","408234","2020","204","231","51","37","4","0","10",22.1,10.4,".250",".417",".329","0.746",".283",".323",".379",37.4,37.4,25.2,"155"
"Wolters, Tony","547172","2020","100","109","23","19","4","0","0",27.5,5.5,".230",".270",".280","0.550",".329",".249",".294",38.9,30.6,30.6,"72"
"Guerrero Jr., Vladimir","665489","2020","221","243","58","34","13","2","9",15.6,8.2,".262",".462",".329","0.791",".282",".338",".338",37.7,37.7,24.6,"183"
"Yastrzemski, Mike","573262","2020","192","225","57","29","14","4","10",24.4,13.3,".297",".568",".400","0.968",".370",".407",".364",40.1,39.4,20.4,"137"
"Donaldson, Josh","518626","2020","81","102","18","10","2","0","6",23.5,17.6,".222",".469",".373","0.842",".231",".362",".347",44.8,34.5,20.7,"58"
"Renfroe, Hunter","592669","2020","122","139","19","6","5","0","8",26.6,10.1,".156",".393",".252","0.645",".141",".277",".318",41.9,30.2,27.9,"86"
"Pederson, Joc","592626","2020","121","138","23","12","4","0","7",24.6,8,".190",".397",".285","0.682",".200",".297",".339",43.7,41.4,14.9,"87"
"Wong, Kolten","543939","2020","181","208","48","41","4","2","1",14.4,9.6,".265",".326",".350","0.676",".311",".305",".286",27.3,40.3,32.5,"154"
"Bader, Harrison","664056","2020","106","125","24","11","7","2","4",32,10.4,".226",".443",".336","0.779",".317",".337",".324",40.3,34.3,25.4,"67"
"Bruce, Jay","457803","2020","96","103","19","7","4","2","6",23.3,6.8,".198",".469",".252","0.721",".197",".297",".322",45.8,33.3,20.8,"72"
"Piscotty, Stephen","572039","2020","159","171","36","25","6","0","5",31,5.3,".226",".358",".271","0.629",".304",".273",".293",43.5,31.5,25,"108"
"Muncy, Max","571970","2020","203","248","39","23","4","0","12",24.2,15.7,".192",".389",".331","0.720",".203",".316",".360",43.4,35.9,20.7,"145"
"Barnes, Austin","605131","2020","86","104","21","17","3","0","1",23.1,12.5,".244",".314",".353","0.667",".323",".306",".274",33.8,47.7,18.5,"65"
"Tsutsugo, Yoshi","660294","2020","157","185","31","17","5","1","8",27,14.1,".197",".395",".314","0.709",".230",".309",".325",33.3,37,29.6,"108"
"Devers, Rafael","646240","2020","232","248","61","33","16","1","11",27,5.2,".263",".483",".310","0.793",".325",".337",".328",35.8,43,21.2,"165"
"Flores, Wilmer","527038","2020","198","213","53","29","11","1","12",16.9,6.1,".268",".515",".315","0.830",".272",".347",".309",45.4,32.5,22.1,"163"
"Biggio, Cavan","624415","2020","220","265","55","31","16","0","8",23,15.5,".250",".432",".375","0.807",".311",".355",".315",47.2,32.1,20.8,"159"
"Bote, David","623520","2020","125","145","25","14","3","1","7",27.6,11.7,".200",".408",".303","0.711",".228",".309",".325",31.4,39.5,29.1,"86"
"Polanco, Gregory","570256","2020","157","174","24","11","6","0","7",37.4,7.5,".153",".325",".214","0.539",".193",".232",".301",44.2,35.8,20,"95"
"Smith, Dominic","642086","2020","177","199","56","24","21","1","10",22.6,7,".316",".616",".377","0.993",".368",".412",".392",42.2,38.5,19.3,"135"
"Arraez, Luis","650333","2020","112","121","36","27","9","0","0",9.1,6.6,".321",".402",".364","0.766",".353",".335",".357",21.6,45.1,33.3,"102"
"Kingery, Scott","664068","2020","113","124","18","10","5","0","3",28.2,7.3,".159",".283",".228","0.511",".200",".227",".302",36.7,31.6,31.6,"79"
"Camargo, Johan","622666","2020","120","127","24","12","8","0","4",27.6,4.7,".200",".367",".244","0.611",".247",".262",".240",44.7,32.9,22.4,"85"
"Machado, Manny","592518","2020","224","254","68","39","12","1","16",14.6,10.2,".304",".580",".370","0.950",".297",".391",".385",44.5,30.4,25.1,"191"
"Choo, Shin-Soo","425783","2020","110","127","26","18","3","0","5",26,10.2,".236",".400",".323","0.723",".284",".312",".340",35.4,34.2,30.4,"79"
"Perez, Salvador","521692","2020","150","156","50","27","12","0","11",23.1,1.9,".333",".633",".353","0.986",".375",".410",".406",41.7,40,18.3,"115"
"Voit III, Luke","572228","2020","213","234","59","32","5","0","22",23.1,7.3,".277",".610",".338","0.948",".268",".393",".389",51.2,28.1,20.6,"160"
"Gordon, Alex","460086","2020","163","184","34","26","4","0","4",20.1,9.8,".209",".307",".299","0.606",".246",".275",".301",42.1,37.3,20.6,"126"
"Stewart, DJ","621466","2020","88","112","17","8","2","0","7",33.9,17.9,".193",".455",".355","0.810",".233",".353",".336",53.8,30.8,15.4,"52"
