"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2022,"Schwindel, Frank",112,"R",288,60,"20.8",".237",228,"79.2",".292"
2022,"Happ, Ian",112,"L",495,336,"67.9",".351",159,"32.1",".294"
2022,"Wisdom, Patrick",112,"R",527,250,"47.4",".327",277,"52.6",".306"
2022,"Gomes, Yan",112,"R",293,30,"10.2",".279",263,"89.8",".270"
2022,"Rivas III, Alfonso",112,"L",286,94,"32.9",".309",192,"67.1",".273"
2022,"Contreras, Willson",112,"R",481,57,"11.9",".321",424,"88.1",".363"
2022,"Heyward, Jason",112,"L",150,108,"72.0",".276",42,"28.0",".201"
2022,"McKinstry, Zach",112,"L",185,80,"43.2",".278",105,"56.8",".281"
2022,"Reyes, Franmil",112,"R",473,101,"21.4",".330",372,"78.6",".266"
2022,"Velázquez, Nelson",112,"R",202,62,"30.7",".371",140,"69.3",".258"
2022,"Ortega, Rafael",112,"L",368,205,"55.7",".308",163,"44.3",".302"
2022,"Morel, Christopher",112,"R",422,118,"28.0",".321",304,"72.0",".326"
2022,"Vogelbach, Daniel",121,"L",458,372,"81.2",".362",86,"18.8",".283"
2022,"Smith, Dominic",121,"L",152,113,"74.3",".222",39,"25.7",".346"
2022,"Nimmo, Brandon",121,"L",672,158,"23.5",".302",514,"76.5",".367"
2022,"Pérez, Michael",121,"L",132,116,"87.9",".215",16,"12.1",".326"
2022,"McNeil, Jeff",121,"L",588,174,"29.6",".377",414,"70.4",".360"
2022,"Alonso, Pete",121,"R",668,294,"44.0",".326",374,"56.0",".398"
2022,"Escobar, Eduardo",121,"R",172,51,"29.7",".334",121,"70.3",".358"
2022,"Naquin, Tyler",121,"L",332,163,"49.1",".290",169,"50.9",".316"
2022,"Escobar, Eduardo",121,"L",367,295,"80.4",".303",72,"19.6",".250"
2022,"Ruf, Darin",121,"R",385,155,"40.3",".328",230,"59.7",".263"
2022,"Canha, Mark",121,"R",541,137,"25.3",".300",404,"74.7",".358"
2022,"Lindor, Francisco",121,"L",496,321,"64.7",".351",175,"35.3",".327"
2022,"Mazeika, Patrick",121,"L",72,62,"86.1",".203",10,"13.9",".341"
2022,"Guillorme, Luis",121,"L",333,48,"14.4",".298",285,"85.6",".312"
2022,"Bruján, Vidal",139,"L",105,49,"46.7",".168",56,"53.3",".167"
2022,"Franco, Wander",139,"L",272,161,"59.2",".352",111,"40.8",".272"
2022,"Lowe, Josh",139,"L",197,68,"34.5",".220",129,"65.5",".305"
2022,"Lowe, Brandon",139,"L",266,241,"90.6",".299",25,"9.4",".373"
2022,"Walls, Taylor",139,"R",137,54,"39.4",".301",83,"60.6",".222"
2022,"Mejía, Francisco",139,"L",211,187,"88.6",".233",24,"11.4",".311"
2022,"Peralta, David",139,"L",485,266,"54.8",".329",219,"45.2",".297"
