"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2016,"Heyward, Jason",112,"L",577,90,"15.6",".280",487,"84.4",".282"
2016,"Fowler, Dexter",112,"L",395,63,"15.9",".475",332,"84.1",".338"
2016,"Coghlan, Chris",112,"L",279,52,"18.6",".202",227,"81.4",".282"
2016,"Bryant, Kris",112,"R",679,263,"38.7",".375",416,"61.3",".407"
2016,"Soler, Jorge",112,"R",255,35,"13.7",".401",220,"86.3",".333"
2016,"Rizzo, Anthony",112,"L",646,388,"60.1",".366",258,"39.9",".429"
2016,"Zobrist, Ben",112,"L",451,53,"11.8",".333",398,"88.2",".362"
2016,"Báez, Javier",112,"R",432,96,"22.2",".329",336,"77.8",".316"
2016,"Montero, Miguel",112,"L",267,52,"19.5",".303",215,"80.5",".298"
2016,"Ross, David",112,"R",197,31,"15.7",".138",166,"84.3",".366"
2016,"Johnson, Kelly",121,"L",327,77,"23.5",".207",250,"76.5",".325"
2016,"Granderson, Curtis",121,"L",619,422,"68.2",".334",197,"31.8",".336"
2016,"Duda, Lucas",121,"L",166,136,"81.9",".263",30,"18.1",".435"
2016,"Bruce, Jay",121,"L",569,347,"61.0",".317",222,"39.0",".391"
2016,"Cespedes, Yoenis",121,"R",525,131,"25.0",".355",394,"75.0",".371"
2016,"Cabrera, Asdrúbal",121,"L",436,88,"20.2",".314",348,"79.8",".353"
2016,"Loney, James",121,"L",356,76,"21.3",".314",280,"78.7",".297"
2016,"Conforto, Michael",121,"L",336,193,"57.4",".295",143,"42.6",".301"
2016,"Walker, Neil",121,"L",339,89,"26.3",".375",250,"73.7",".318"
2016,"Dickerson, Corey",139,"L",531,93,"17.5",".463",438,"82.5",".285"
2016,"Conger, Hank",139,"L",127,88,"69.3",".222",39,"30.7",".296"
2016,"Miller, Brad",139,"L",590,63,"10.7",".357",527,"89.3",".328"
2016,"Franklin, Nick",139,"L",148,56,"37.8",".427",92,"62.2",".320"
2016,"Casali, Curt",139,"R",251,27,"10.8",".215",224,"89.2",".280"
2016,"Forsythe, Logan",139,"R",559,66,"11.8",".371",493,"88.2",".326"
2016,"Morrison, Logan",139,"L",388,229,"59.0",".293",159,"41.0",".359"
2016,"Kiermaier, Kevin",139,"L",406,67,"16.5",".266",339,"83.5",".341"
