"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2019,"Bryant, Kris",112,"R",628,336,"53.5",".408",292,"46.5",".349"
2019,"Kemp, Tony",112,"L",273,61,"22.3",".318",212,"77.7",".283"
2019,"Rizzo, Anthony",112,"L",605,493,"81.5",".388",112,"18.5",".381"
2019,"Heyward, Jason",112,"L",578,328,"56.7",".332",250,"43.3",".309"
2019,"Castellanos, Nick",112,"R",654,181,"27.7",".446",473,"72.3",".322"
2019,"Báez, Javier",112,"R",552,55,"10.0",".351",497,"90.0",".347"
2019,"Schwarber, Kyle",112,"L",600,479,"79.8",".354",121,"20.2",".369"
2019,"Conforto, Michael",121,"L",643,401,"62.4",".399",242,"37.6",".290"
2019,"Panik, Joe",121,"L",489,86,"17.6",".266",403,"82.4",".287"
2019,"Nimmo, Brandon",121,"L",252,121,"48.0",".245",131,"52.0",".428"
2019,"Frazier, Todd",121,"R",498,301,"60.4",".321",197,"39.6",".338"
2019,"McNeil, Jeff",121,"L",565,154,"27.3",".361",411,"72.7",".393"
2019,"Canó, Robinson",121,"L",419,155,"37.0",".323",264,"63.0",".300"
2019,"Davis, J.D.",121,"R",451,42,"9.3",".429",409,"90.7",".368"
2019,"Alonso, Pete",121,"R",687,121,"17.6",".379",566,"82.4",".385"
2019,"Aguilar, Jesús",139,"R",369,66,"17.9",".320",303,"82.1",".305"
2019,"Pham, Tommy",139,"R",650,59,"9.1",".363",591,"90.9",".347"
2019,"Sogard, Eric",139,"L",440,127,"28.9",".308",313,"71.1",".356"
2019,"Meadows, Austin",139,"L",585,375,"64.1",".387",210,"35.9",".366"
2019,"Choi, Ji Man",139,"L",485,333,"68.7",".381",152,"31.3",".275"
2019,"García, Avisaíl",139,"R",528,174,"33.0",".339",354,"67.0",".332"
2019,"Lowe, Brandon",139,"L",327,240,"73.4",".319",87,"26.6",".452"
2019,"Adames, Willy",139,"R",583,93,"16.0",".422",490,"84.0",".292"
2019,"Kiermaier, Kevin",139,"L",478,189,"39.5",".256",289,"60.5",".302"
2019,"Wendle, Joey",139,"L",263,60,"22.8",".285",203,"77.2",".272"
2019,"Zunino, Mike",139,"R",289,196,"67.8",".209",93,"32.2",".291"
2019,"Galvis, Freddy",113,"L",404,177,"43.8",".244",227,"56.2",".363"
2019,"Dietrich, Derek",113,"L",297,194,"65.3",".336",103,"34.7",".313"
2019,"Winker, Jesse",113,"L",372,207,"55.6",".372",165,"44.4",".317"
2019,"Suárez, Eugenio",113,"R",650,332,"51.1",".430",318,"48.9",".328"
2019,"Votto, Joey",113,"L",594,287,"48.3",".326",307,"51.7",".341"
2019,"VanMeter, Josh",113,"L",260,151,"58.1",".345",109,"41.9",".276"
2019,"Barnhart, Tucker",113,"L",305,147,"48.2",".350",158,"51.8",".287"
2019,"Gonzalez, Marwin",142,"L",337,180,"53.4",".277",157,"46.6",".340"
2019,"Buxton, Byron",142,"R",294,74,"25.2",".381",220,"74.8",".327"
2019,"Garver, Mitch",142,"R",359,69,"19.2",".441",290,"80.8",".396"
2019,"Sanó, Miguel",142,"R",439,216,"49.2",".361",223,"50.8",".395"
2019,"Cruz, Nelson",142,"R",512,125,"24.4",".459",387,"75.6",".405"
2019,"Schoop, Jonathan",142,"R",463,47,"10.2",".462",416,"89.8",".309"
2019,"Polanco, Jorge",142,"L",491,242,"49.3",".369",249,"50.7",".375"
2019,"Cron, C.J.",142,"R",497,111,"22.3",".401",386,"77.7",".302"
2019,"Castro, Jason",142,"L",275,158,"57.5",".320",117,"42.5",".338"
2019,"Rosario, Eddie",142,"L",588,432,"73.5",".325",156,"26.5",".338"
2019,"Kepler, Max",142,"L",595,456,"76.6",".360",139,"23.4",".336"
2019,"Goodwin, Brian",108,"L",448,171,"38.2",".369",277,"61.8",".316"
2019,"Simmons, Andrelton",108,"R",415,100,"24.1",".366",315,"75.9",".267"
2019,"Upton, Justin",108,"R",256,82,"32.0",".325",174,"68.0",".298"
2019,"Pujols, Albert",108,"R",536,266,"49.6",".299",270,"50.4",".316"
2019,"Calhoun, Kole",108,"L",617,530,"85.9",".342",87,"14.1",".254"
2019,"Rengifo, Luis",108,"L",269,66,"24.5",".263",203,"75.5",".339"
2019,"Ohtani, Shohei",108,"L",424,183,"43.2",".329",241,"56.8",".370"
2019,"La Stella, Tommy",108,"L",320,147,"45.9",".359",173,"54.1",".347"
2019,"Trout, Mike",108,"R",578,238,"41.2",".417",340,"58.8",".459"
2019,"Chirinos, Robinson",117,"R",432,118,"27.3",".365",314,"72.7",".324"
2019,"Gurriel, Yuli",117,"R",602,68,"11.3",".365",534,"88.7",".360"
2019,"Reddick, Josh",117,"L",540,259,"48.0",".297",281,"52.0",".321"
2019,"Brantley, Michael",117,"L",625,311,"49.8",".347",314,"50.2",".377"
2019,"Alvarez, Yordan",117,"L",365,236,"64.7",".447",129,"35.3",".405"
2019,"Altuve, Jose",117,"R",538,91,"16.9",".379",447,"83.1",".371"
2019,"Bregman, Alex",117,"R",678,231,"34.1",".420",447,"65.9",".410"
2019,"Springer, George",117,"R",544,73,"13.4",".348",471,"86.6",".409"
2019,"Maldonado, Martín",117,"R",369,70,"19.0",".259",299,"81.0",".292"
2019,"Albies, Ozzie",144,"L",537,310,"57.7",".342",227,"42.3",".303"
2019,"McCann, Brian",144,"L",315,246,"78.1",".327",69,"21.9",".257"
2019,"Acuña Jr., Ronald",144,"R",710,161,"22.7",".353",549,"77.3",".374"
2019,"Donaldson, Josh",144,"R",657,97,"14.8",".394",560,"85.2",".374"
2019,"Riley, Austin",144,"R",294,99,"33.7",".293",195,"66.3",".314"
2019,"Swanson, Dansby",144,"R",543,63,"11.6",".336",480,"88.4",".315"
2019,"Flowers, Tyler",144,"R",307,51,"16.6",".331",256,"83.4",".306"
2019,"Freeman, Freddie",144,"L",681,504,"74.0",".377",177,"26.0",".417"
2019,"Markakis, Nick",144,"L",468,115,"24.6",".432",353,"75.4",".300"
2019,"Yastrzemski, Mike",137,"L",410,238,"58.0",".368",172,"42.0",".332"
2019,"Pillar, Kevin",137,"R",641,82,"12.8",".402",559,"87.2",".282"
2019,"Longoria, Evan",137,"R",507,139,"27.4",".264",368,"72.6",".344"
2019,"Belt, Brandon",137,"L",613,531,"86.6",".328",82,"13.4",".260"
2019,"Vogt, Stephen",137,"L",279,190,"68.1",".351",89,"31.9",".290"
2019,"Crawford, Brandon",137,"L",555,153,"27.6",".298",402,"72.4",".274"
2019,"Myers, Wil",135,"R",489,185,"37.8",".360",304,"62.2",".291"
2019,"Hosmer, Eric",135,"L",664,153,"23.0",".352",511,"77.0",".296"
2019,"Renfroe, Hunter",135,"R",493,349,"70.8",".319",144,"29.2",".321"
2019,"Tatis Jr., Fernando",135,"R",371,46,"12.4",".495",325,"87.6",".385"
2019,"Machado, Manny",135,"R",658,64,"9.7",".392",594,"90.3",".329"
2019,"Hedges, Austin",135,"R",344,115,"33.4",".231",229,"66.6",".248"
2019,"Naylor, Josh",135,"L",278,190,"68.3",".309",88,"31.7",".301"
2019,"Kinsler, Ian",135,"R",281,58,"20.6",".232",223,"79.4",".288"
2019,"Mondesi, Adalberto",118,"L",300,123,"41.0",".256",177,"59.0",".356"
