"year","name","team_id","bat_side","total_pa","pa_shades","pa_shade_percent","woba_shade","pa_non_shades","pa_non_shade_percent","woba_non_shade"
2023,"Hosmer, Eric",112,"L",99,42,"42.4",".283",57,"57.6",".252"
2023,"Ríos, Edwin",112,"L",34,23,"67.6",".294",11,"32.4",".063"
2023,"Candelario, Jeimer",112,"L",415,221,"53.3",".346",194,"46.7",".348"
2023,"Mastrobuoni, Miles",112,"L",149,48,"32.2",".235",101,"67.8",".295"
2023,"Tauchman, Mike",112,"L",392,110,"28.1",".271",282,"71.9",".358"
2023,"Swanson, Dansby",112,"R",629,43,"6.8",".468",586,"93.2",".310"
2023,"Happ, Ian",112,"L",493,273,"55.4",".321",220,"44.6",".388"
2023,"Bellinger, Cody",112,"L",546,323,"59.2",".362",223,"40.8",".386"
2023,"Mervis, Matt",112,"L",99,56,"56.6",".212",43,"43.4",".273"
2023,"Barnhart, Tucker",112,"L",121,39,"32.2",".189",82,"67.8",".284"
2023,"Vogelbach, Daniel",121,"L",318,177,"55.7",".327",141,"44.3",".326"
2023,"Alonso, Pete",121,"R",651,80,"12.3",".390",571,"87.7",".339"
2023,"Stewart, DJ",121,"L",185,106,"57.3",".382",79,"42.7",".325"
2023,"Lindor, Francisco",121,"L",481,232,"48.2",".327",249,"51.8",".328"
2023,"Nimmo, Brandon",121,"L",680,199,"29.3",".362",481,"70.7",".357"
2023,"Ortega, Rafael",121,"L",136,53,"39.0",".314",83,"61.0",".272"
2023,"Baty, Brett",121,"L",389,146,"37.5",".246",243,"62.5",".277"
2023,"Mauricio, Ronny",121,"L",60,27,"45.0",".387",33,"55.0",".299"
2023,"Narváez, Omar",121,"L",145,69,"47.6",".217",76,"52.4",".302"
2023,"McNeil, Jeff",121,"L",647,161,"24.9",".280",486,"75.1",".326"
2023,"Paredes, Isaac",139,"R",571,43,"7.5",".436",528,"92.5",".356"
2023,"Lowe, Brandon",139,"L",436,234,"53.7",".328",202,"46.3",".341"
2023,"Arozarena, Randy",139,"R",652,32,"4.9",".477",620,"95.1",".340"
2023,"Walls, Taylor",139,"L",256,98,"38.3",".241",158,"61.7",".282"
2023,"Franco, Wander",139,"L",391,154,"39.4",".315",237,"60.6",".354"
2023,"Mejía, Francisco",139,"L",127,74,"58.3",".341",53,"41.7",".216"
2023,"Aranda, Jonathan",139,"L",102,43,"42.2",".341",59,"57.8",".291"
2023,"Lowe, Josh",139,"L",499,207,"41.5",".344",292,"58.5",".361"
2023,"Siri, Jose",139,"R",363,20,"5.5",".278",343,"94.5",".320"
2023,"Raley, Luke",139,"L",406,245,"60.3",".320",161,"39.7",".403"
2023,"Fraley, Jake",113,"L",376,135,"35.9",".279",241,"64.1",".372"
2023,"Martini, Nick",113,"L",79,41,"51.9",".454",38,"48.1",".305"
2023,"Bader, Harrison",113,"R",343,27,"7.9",".248",316,"92.1",".274"
