"year","name","team_id","bat_side","total_pa","pa_shades","pa_shade_percent","woba_shade","pa_non_shades","pa_non_shade_percent","woba_non_shade"
2023,"Bellinger, Cody",112,"L",546,323,"59.2",".362",223,"40.8",".386"
2023,"Candelario, Jeimer",112,"L",415,221,"53.3",".346",194,"46.7",".348"
2023,"Happ, Ian",112,"L",493,273,"55.4",".321",220,"44.6",".388"
2023,"Tauchman, Mike",112,"L",392,110,"28.1",".271",282,"71.9",".358"
2023,"McNeil, Jeff",121,"L",647,161,"24.9",".280",486,"75.1",".326"
2023,"Lindor, Francisco",121,"L",481,232,"48.2",".327",249,"51.8",".328"
2023,"Nimmo, Brandon",121,"L",680,199,"29.3",".362",481,"70.7",".357"
2023,"Baty, Brett",121,"L",389,146,"37.5",".246",243,"62.5",".277"
2023,"Vogelbach, Daniel",121,"L",318,177,"55.7",".327",141,"44.3",".326"
2023,"Alonso, Pete",121,"R",651,80,"12.3",".390",571,"87.7",".339"
2023,"Walls, Taylor",139,"L",256,98,"38.3",".241",158,"61.7",".282"
2023,"Franco, Wander",139,"L",391,154,"39.4",".315",237,"60.6",".354"
2023,"Raley, Luke",139,"L",406,245,"60.3",".320",161,"39.7",".403"
2023,"Lowe, Brandon",139,"L",436,234,"53.7",".328",202,"46.3",".341"
2023,"Lowe, Josh",139,"L",499,207,"41.5",".344",292,"58.5",".361"
2023,"De La Cruz, Elly",113,"L",301,166,"55.1",".322",135,"44.9",".361"
2023,"McLain, Matt",113,"R",403,31,"7.7",".529",372,"92.3",".357"
2023,"Benson, Will",113,"L",328,187,"57.0",".364",141,"43.0",".379"
2023,"Renfroe, Hunter",113,"R",544,71,"13.1",".245",473,"86.9",".320"
2023,"Friedl, TJ",113,"L",553,109,"19.7",".260",444,"80.3",".375"
2023,"Steer, Spencer",113,"R",665,47,"7.1",".270",618,"92.9",".361"
2023,"Fraley, Jake",113,"L",376,135,"35.9",".279",241,"64.1",".372"
2023,"Buxton, Byron",142,"R",345,50,"14.5",".386",295,"85.5",".299"
2023,"Polanco, Jorge",142,"L",252,137,"54.4",".329",115,"45.6",".342"
