"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2018,"Happ, Ian",112,"L",335,124,"37.0",".329",211,"63.0",".361"
2018,"Schwarber, Kyle",112,"L",490,368,"75.1",".372",122,"24.9",".256"
2018,"Heyward, Jason",112,"L",486,120,"24.7",".351",366,"75.3",".310"
2018,"Báez, Javier",112,"R",636,58,"9.1",".325",578,"90.9",".371"
2018,"Bryant, Kris",112,"R",450,209,"46.4",".355",241,"53.6",".360"
2018,"Rizzo, Anthony",112,"L",649,465,"71.6",".354",184,"28.4",".372"
2018,"Murphy, Daniel",112,"L",349,64,"18.3",".342",285,"81.7",".337"
2018,"Zobrist, Ben",112,"L",382,84,"22.0",".342",298,"78.0",".357"
2018,"Frazier, Todd",121,"R",466,229,"49.1",".311",237,"50.9",".295"
2018,"Nimmo, Brandon",121,"L",533,97,"18.2",".412",436,"81.8",".379"
2018,"Bruce, Jay",121,"L",356,303,"85.1",".276",53,"14.9",".413"
2018,"Conforto, Michael",121,"L",625,388,"62.1",".338",237,"37.9",".357"
2018,"Mesoraco, Devin",121,"R",271,111,"41.0",".238",160,"59.0",".347"
2018,"Bauers, Jake",139,"L",388,223,"57.5",".281",165,"42.5",".344"
2018,"Wendle, Joey",139,"L",541,84,"15.5",".365",457,"84.5",".333"
2018,"Cron, C.J.",139,"R",558,90,"16.1",".337",468,"83.9",".349"
2018,"Kiermaier, Kevin",139,"L",365,115,"31.5",".275",250,"68.5",".285"
2018,"Barnhart, Tucker",113,"L",399,91,"22.8",".324",308,"77.2",".291"
2018,"Schebler, Scott",113,"L",429,174,"40.6",".381",255,"59.4",".307"
2018,"Suárez, Eugenio",113,"R",599,165,"27.5",".335",434,"72.5",".392"
2018,"Gennett, Scooter",113,"L",635,91,"14.3",".419",544,"85.7",".352"
2018,"Winker, Jesse",113,"L",329,90,"27.4",".397",239,"72.6",".352"
2018,"Votto, Joey",113,"L",616,221,"35.9",".375",395,"64.1",".368"
2018,"Austin, Tyler",142,"R",268,52,"19.4",".506",216,"80.6",".281"
2018,"Mauer, Joe",142,"L",526,108,"20.5",".287",418,"79.5",".328"
2018,"Adrianza, Ehire",142,"L",269,59,"21.9",".356",210,"78.1",".273"
2018,"Cave, Jake",142,"L",307,83,"27.0",".296",224,"73.0",".346"
2018,"Rosario, Eddie",142,"L",576,322,"55.9",".309",254,"44.1",".385"
2018,"Morrison, Logan",142,"L",348,316,"90.8",".287",32,"9.2",".324"
2018,"Grossman, Robbie",142,"L",302,111,"36.8",".294",191,"63.2",".324"
2018,"Kepler, Max",142,"L",602,266,"44.2",".371",336,"55.8",".272"
2018,"Calhoun, Kole",108,"L",549,433,"78.9",".275",116,"21.1",".312"
2018,"Valbuena, Luis",108,"L",285,237,"83.2",".246",48,"16.8",".286"
2018,"Simmons, Andrelton",108,"R",597,47,"7.9",".403",550,"92.1",".318"
2018,"Upton, Justin",108,"R",612,123,"20.1",".390",489,"79.9",".337"
2018,"Ohtani, Shohei",108,"L",364,196,"53.8",".327",168,"46.2",".463"
2018,"Pujols, Albert",108,"R",495,245,"49.5",".286",250,"50.5",".312"
2018,"Cozart, Zack",108,"R",253,53,"20.9",".301",200,"79.1",".286"
2018,"Trout, Mike",108,"R",583,195,"33.4",".437",388,"66.6",".451"
2018,"Gonzalez, Marwin",117,"L",368,120,"32.6",".356",248,"67.4",".299"
2018,"Bregman, Alex",117,"R",703,142,"20.2",".418",561,"79.8",".390"
2018,"Gattis, Evan",117,"R",449,77,"17.1",".396",372,"82.9",".293"
2018,"Reddick, Josh",117,"L",482,193,"40.0",".370",289,"60.0",".273"
2018,"Acuña Jr., Ronald",144,"R",485,165,"34.0",".436",320,"66.0",".363"
2018,"Albies, Ozzie",144,"L",485,171,"35.3",".275",314,"64.7",".313"
2018,"Duda, Lucas",144,"L",365,336,"92.1",".316",29,"7.9",".308"
2018,"Camargo, Johan",144,"L",365,61,"16.7",".351",304,"83.3",".344"
2018,"Freeman, Freddie",144,"L",694,520,"74.9",".385",174,"25.1",".358"
2018,"Duvall, Adam",144,"R",424,176,"41.5",".267",248,"58.5",".285"
2018,"Suzuki, Kurt",144,"R",387,76,"19.6",".368",311,"80.4",".328"
2018,"Markakis, Nick",144,"L",694,73,"10.5",".331",621,"89.5",".347"
2018,"Crawford, Brandon",137,"L",581,82,"14.1",".352",499,"85.9",".299"
2018,"Longoria, Evan",137,"R",509,133,"26.1",".324",376,"73.9",".284"
2018,"Belt, Brandon",137,"L",450,372,"82.7",".325",78,"17.3",".334"
2018,"Hosmer, Eric",135,"L",651,104,"16.0",".386",547,"84.0",".291"
2018,"Myers, Wil",135,"R",341,53,"15.5",".382",288,"84.5",".316"
2018,"Villanueva, Christian",135,"R",368,104,"28.3",".296",264,"71.7",".343"
2018,"Renfroe, Hunter",135,"R",435,149,"34.3",".331",286,"65.7",".344"
2018,"Gordon, Alex",118,"L",564,370,"65.6",".297",194,"34.4",".318"
2018,"Perez, Salvador",118,"R",544,148,"27.2",".271",396,"72.8",".316"
2018,"McCann, James",116,"R",457,68,"14.9",".299",389,"85.1",".249"
