"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2018,"Heyward, Jason",112,"L",486,120,"24.7",".351",366,"75.3",".310"
2018,"Happ, Ian",112,"L",335,124,"37.0",".329",211,"63.0",".361"
2018,"Zobrist, Ben",112,"L",382,84,"22.0",".342",298,"78.0",".357"
2018,"Rizzo, Anthony",112,"L",649,465,"71.6",".354",184,"28.4",".372"
2018,"Schwarber, Kyle",112,"L",490,368,"75.1",".372",122,"24.9",".256"
2018,"Bryant, Kris",112,"R",450,209,"46.4",".355",241,"53.6",".360"
2018,"La Stella, Tommy",112,"L",189,36,"19.0",".152",153,"81.0",".336"
2018,"Murphy, Daniel",112,"L",349,64,"18.3",".342",285,"81.7",".337"
2018,"Báez, Javier",112,"R",636,58,"9.1",".325",578,"90.9",".371"
2018,"González, Adrián",121,"L",181,90,"49.7",".249",91,"50.3",".313"
2018,"Mesoraco, Devin",121,"R",271,111,"41.0",".238",160,"59.0",".347"
2018,"Bruce, Jay",121,"L",356,303,"85.1",".276",53,"14.9",".413"
2018,"Nimmo, Brandon",121,"L",533,97,"18.2",".412",436,"81.8",".379"
2018,"Frazier, Todd",121,"R",466,229,"49.1",".311",237,"50.9",".295"
2018,"Cespedes, Yoenis",121,"R",155,70,"45.2",".337",85,"54.8",".351"
2018,"Conforto, Michael",121,"L",625,388,"62.1",".338",237,"37.9",".357"
2018,"Smith, Dominic",121,"L",148,111,"75.0",".303",37,"25.0",".216"
2018,"McNeil, Jeff",121,"L",242,53,"21.9",".326",189,"78.1",".379"
2018,"Wendle, Joey",139,"L",541,84,"15.5",".365",457,"84.5",".333"
2018,"Pham, Tommy",139,"R",568,40,"7.0",".412",528,"93.0",".355"
2018,"Bauers, Jake",139,"L",388,223,"57.5",".281",165,"42.5",".344"
2018,"Kiermaier, Kevin",139,"L",365,115,"31.5",".275",250,"68.5",".285"
2018,"Choi, Ji Man",139,"L",220,109,"49.5",".338",111,"50.5",".395"
2018,"Meadows, Austin",139,"L",189,72,"38.1",".214",117,"61.9",".405"
2018,"Cron, C.J.",139,"R",558,90,"16.1",".337",468,"83.9",".349"
2018,"Lowe, Brandon",139,"L",148,35,"23.6",".315",113,"76.4",".339"
2018,"Gómez, Carlos",139,"R",408,32,"7.8",".165",376,"92.2",".295"
2018,"Suárez, Eugenio",113,"R",599,165,"27.5",".335",434,"72.5",".392"
2018,"Winker, Jesse",113,"L",329,90,"27.4",".397",239,"72.6",".352"
2018,"Gennett, Scooter",113,"L",635,91,"14.3",".419",544,"85.7",".352"
2018,"Schebler, Scott",113,"L",429,174,"40.6",".381",255,"59.4",".307"
2018,"Barnhart, Tucker",113,"L",399,91,"22.8",".324",308,"77.2",".291"
2018,"Votto, Joey",113,"L",616,221,"35.9",".375",395,"64.1",".368"
2018,"Austin, Tyler",142,"R",268,52,"19.4",".506",216,"80.6",".281"
2018,"Grossman, Robbie",142,"L",302,111,"36.8",".294",191,"63.2",".324"
2018,"Sanó, Miguel",142,"R",288,38,"13.2",".276",250,"86.8",".299"
2018,"Castro, Jason",142,"L",63,39,"61.9",".291",24,"38.1",".167"
2018,"Kepler, Max",142,"L",602,266,"44.2",".371",336,"55.8",".272"
2018,"Rosario, Eddie",142,"L",576,322,"55.9",".309",254,"44.1",".385"
2018,"Polanco, Jorge",142,"L",224,129,"57.6",".386",95,"42.4",".342"
2018,"Cave, Jake",142,"L",307,83,"27.0",".296",224,"73.0",".346"
2018,"Mauer, Joe",142,"L",526,108,"20.5",".287",418,"79.5",".328"
2018,"Morrison, Logan",142,"L",348,316,"90.8",".287",32,"9.2",".324"
2018,"Field, Johnny",142,"R",233,28,"12.0",".230",205,"88.0",".288"
2018,"Adrianza, Ehire",142,"L",269,59,"21.9",".356",210,"78.1",".273"
2018,"Marte, Jefry",108,"R",209,49,"23.4",".233",160,"76.6",".295"
2018,"Young, Chris",108,"R",128,62,"48.4",".208",66,"51.6",".326"
2018,"Ohtani, Shohei",108,"L",364,196,"53.8",".327",168,"46.2",".463"
2018,"Trout, Mike",108,"R",583,195,"33.4",".437",388,"66.6",".451"
2018,"Simmons, Andrelton",108,"R",597,47,"7.9",".403",550,"92.1",".318"
2018,"Fernández, José Miguel",108,"L",123,36,"29.3",".339",87,"70.7",".289"
2018,"Cowart, Kaleb",108,"L",95,51,"53.7",".137",44,"46.3",".281"
2018,"Pujols, Albert",108,"R",495,245,"49.5",".286",250,"50.5",".312"
2018,"Calhoun, Kole",108,"L",549,433,"78.9",".275",116,"21.1",".312"
2018,"Upton, Justin",108,"R",612,123,"20.1",".390",489,"79.9",".337"
2018,"Valbuena, Luis",108,"L",285,237,"83.2",".246",48,"16.8",".286"
2018,"Cozart, Zack",108,"R",253,53,"20.9",".301",200,"79.1",".286"
2018,"McCann, Brian",117,"L",216,182,"84.3",".286",34,"15.7",".285"
2018,"Gattis, Evan",117,"R",449,77,"17.1",".396",372,"82.9",".293"
2018,"Springer, George",117,"R",617,40,"6.5",".280",577,"93.5",".344"
2018,"Gonzalez, Marwin",117,"L",368,120,"32.6",".356",248,"67.4",".299"
2018,"Reddick, Josh",117,"L",482,193,"40.0",".370",289,"60.0",".273"
2018,"Bregman, Alex",117,"R",703,142,"20.2",".418",561,"79.8",".390"
2018,"Altuve, Jose",117,"R",595,30,"5.0",".285",565,"95.0",".368"
2018,"Maldonado, Martín",117,"R",404,40,"9.9",".294",364,"90.1",".273"
2018,"Duvall, Adam",144,"R",424,176,"41.5",".267",248,"58.5",".285"
2018,"Markakis, Nick",144,"L",694,73,"10.5",".331",621,"89.5",".347"
2018,"Albies, Ozzie",144,"L",485,171,"35.3",".275",314,"64.7",".313"
2018,"Suzuki, Kurt",144,"R",387,76,"19.6",".368",311,"80.4",".328"
2018,"Acuña Jr., Ronald",144,"R",485,165,"34.0",".436",320,"66.0",".363"
2018,"Freeman, Freddie",144,"L",694,520,"74.9",".385",174,"25.1",".358"
2018,"Duda, Lucas",144,"L",365,336,"92.1",".316",29,"7.9",".308"
2018,"Camargo, Johan",144,"L",365,61,"16.7",".351",304,"83.3",".344"
2018,"Tucker, Preston",144,"L",183,125,"68.3",".313",58,"31.7",".294"
2018,"Crawford, Brandon",137,"L",581,82,"14.1",".352",499,"85.9",".299"
2018,"Longoria, Evan",137,"R",509,133,"26.1",".324",376,"73.9",".284"
2018,"Belt, Brandon",137,"L",450,372,"82.7",".325",78,"17.3",".334"
2018,"Lopez, Raffy",135,"L",107,34,"31.8",".266",73,"68.2",".195"
2018,"Asuaje, Carlos",135,"L",212,74,"34.9",".237",138,"65.1",".267"
2018,"Villanueva, Christian",135,"R",368,104,"28.3",".296",264,"71.7",".343"
2018,"Myers, Wil",135,"R",341,53,"15.5",".382",288,"84.5",".316"
2018,"Hedges, Austin",135,"R",323,36,"11.1",".264",287,"88.9",".306"
2018,"Hosmer, Eric",135,"L",651,104,"16.0",".386",547,"84.0",".291"
2018,"Renfroe, Hunter",135,"R",435,149,"34.3",".331",286,"65.7",".344"
2018,"Mondesi, Adalberto",118,"L",198,32,"16.2",".347",166,"83.8",".332"
2018,"Soler, Jorge",118,"R",257,35,"13.6",".329",222,"86.4",".358"
2018,"Perez, Salvador",118,"R",544,148,"27.2",".271",396,"72.8",".316"
2018,"Goodwin, Brian",118,"L",180,49,"27.2",".332",131,"72.8",".303"
2018,"Dozier, Hunter",118,"R",388,33,"8.5",".144",355,"91.5",".304"
2018,"Gordon, Alex",118,"L",564,370,"65.6",".297",194,"34.4",".318"
2018,"Phillips, Brett",118,"L",147,44,"29.9",".197",103,"70.1",".267"
2018,"O'Hearn, Ryan",118,"L",170,67,"39.4",".422",103,"60.6",".383"
2018,"McCann, James",116,"R",457,68,"14.9",".299",389,"85.1",".249"
2018,"Castellanos, Nick",116,"R",673,148,"22.0",".408",525,"78.0",".350"
2018,"Martinez, Victor",116,"L",372,296,"79.6",".281",76,"20.4",".265"
2018,"Machado, Dixon",116,"R",232,38,"16.4",".208",194,"83.6",".251"
2018,"Goodrum, Niko",116,"L",360,118,"32.8",".317",242,"67.2",".312"
2018,"Candelario, Jeimer",116,"L",455,184,"40.4",".265",271,"59.6",".310"
2018,"Jones, JaCoby",116,"R",467,39,"8.4",".407",428,"91.6",".262"
2018,"Shaw, Travis",158,"L",580,284,"49.0",".340",296,"51.0",".362"
2018,"Schoop, Jonathan",158,"R",499,79,"15.8",".346",420,"84.2",".279"
2018,"Moustakas, Mike",158,"L",630,422,"67.0",".302",208,"33.0",".382"
2018,"Miller, Brad",158,"L",254,57,"22.4",".284",197,"77.6",".318"
2018,"Aguilar, Jesús",158,"R",563,80,"14.2",".462",483,"85.8",".359"
2018,"Granderson, Curtis",158,"L",401,340,"84.8",".352",61,"15.2",".288"
2018,"Yelich, Christian",158,"L",649,70,"10.8",".461",579,"89.2",".417"
