"year","name","team_id","bat_side","total_pa","pa_shades","pa_shade_percent","woba_shade","pa_non_shades","pa_non_shade_percent","woba_non_shade"
2024,"Swanson, Dansby",112,"R",474,47,"9.9",".260",427,"90.1",".295"
2024,"Bellinger, Cody",112,"L",451,226,"50.1",".280",225,"49.9",".359"
2024,"Paredes, Isaac",112,"R",534,88,"16.5",".288",446,"83.5",".333"
2024,"Tauchman, Mike",112,"L",320,92,"28.8",".314",228,"71.3",".323"
2024,"Busch, Michael",112,"L",471,248,"52.7",".351",223,"47.3",".318"
2024,"Crow-Armstrong, Pete",112,"L",301,86,"28.6",".224",215,"71.4",".318"
2024,"Happ, Ian",112,"L",416,188,"45.2",".324",228,"54.8",".367"
2024,"Lindor, Francisco",121,"L",443,249,"56.2",".340",194,"43.8",".366"
2024,"McNeil, Jeff",121,"L",441,107,"24.3",".333",334,"75.7",".291"
2024,"Alonso, Pete",121,"R",558,52,"9.3",".363",506,"90.7",".338"
2024,"Nimmo, Brandon",121,"L",532,142,"26.7",".357",390,"73.3",".324"
2024,"Baty, Brett",121,"L",168,64,"38.1",".321",104,"61.9",".255"
2024,"Stewart, DJ",121,"L",184,100,"54.3",".298",84,"45.7",".293"
2024,"Winker, Jesse",121,"L",443,229,"51.7",".358",214,"48.3",".323"
2024,"Lowe, Josh",139,"L",276,172,"62.3",".244",104,"37.7",".400"
2024,"Morel, Christopher",139,"R",521,83,"15.9",".350",438,"84.1",".276"
2024,"Carlson, Dylan",139,"L",107,57,"53.3",".175",50,"46.7",".326"
2024,"Caballero, José",139,"R",400,49,"12.3",".312",351,"87.8",".280"
2024,"Lowe, Brandon",139,"L",329,223,"67.8",".326",106,"32.2",".379"
2024,"Siri, Jose",139,"R",386,42,"10.9",".201",344,"89.1",".291"
2024,"Palacios, Richie",139,"L",299,135,"45.2",".294",164,"54.8",".321"
2024,"Rortvedt, Ben",139,"L",266,122,"45.9",".343",144,"54.1",".253"
2024,"Walls, Taylor",139,"L",149,70,"47.0",".267",79,"53.0",".179"
2024,"Aranda, Jonathan",139,"L",51,32,"62.7",".323",19,"37.3",".165"
2024,"Ford, Mike",113,"L",62,44,"71.0",".178",18,"29.0",".185"
2024,"Fraley, Jake",113,"L",296,130,"43.9",".278",166,"56.1",".321"
2024,"Smith, Dominic",113,"L",294,173,"58.8",".298",121,"41.2",".313"
2024,"India, Jonathan",113,"R",523,45,"8.6",".319",478,"91.4",".328"
2024,"Martini, Nick",113,"L",163,62,"38.0",".210",101,"62.0",".320"
2024,"Friedl, TJ",113,"L",230,63,"27.4",".281",167,"72.6",".315"
2024,"Steer, Spencer",113,"R",540,44,"8.1",".234",496,"91.9",".340"
2024,"De La Cruz, Elly",113,"L",380,197,"51.8",".357",183,"48.2",".405"
2024,"Benson, Will",113,"L",350,169,"48.3",".266",181,"51.7",".311"
2024,"Candelario, Jeimer",113,"L",315,152,"48.3",".249",163,"51.7",".363"
2024,"Kirilloff, Alex",142,"L",177,124,"70.1",".297",53,"29.9",".251"
2024,"Wallner, Matt",142,"L",169,107,"63.3",".366",62,"36.7",".531"
2024,"Castro, Willi",142,"L",397,159,"40.1",".324",238,"59.9",".345"
2024,"Miranda, Jose",142,"R",368,42,"11.4",".308",326,"88.6",".351"
2024,"Santana, Carlos",142,"L",353,251,"71.1",".303",102,"28.9",".301"
2024,"Julien, Edouard",142,"L",243,151,"62.1",".301",92,"37.9",".300"
