"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2017,"Zobrist, Ben",112,"L",374,67,"17.9",".473",307,"82.1",".287"
2017,"Schwarber, Kyle",112,"L",483,378,"78.3",".336",105,"21.7",".326"
2017,"Avila, Alex",112,"L",374,257,"68.7",".362",117,"31.3",".361"
2017,"Heyward, Jason",112,"L",478,68,"14.2",".252",410,"85.8",".321"
2017,"Bryant, Kris",112,"R",659,249,"37.8",".409",410,"62.2",".389"
2017,"Rizzo, Anthony",112,"L",679,488,"71.9",".367",191,"28.1",".414"
2017,"Báez, Javier",112,"R",490,61,"12.4",".365",429,"87.6",".320"
2017,"Cespedes, Yoenis",121,"R",315,72,"22.9",".420",243,"77.1",".356"
2017,"Conforto, Michael",121,"L",431,298,"69.1",".353",133,"30.9",".464"
2017,"Cabrera, Asdrúbal",121,"L",399,106,"26.6",".277",293,"73.4",".330"
2017,"Duda, Lucas",139,"L",484,435,"89.9",".344",49,"10.1",".325"
2017,"Dickerson, Corey",139,"L",620,162,"26.1",".328",458,"73.9",".342"
2017,"Miller, Brad",139,"L",403,72,"17.9",".167",331,"82.1",".322"
2017,"Kiermaier, Kevin",139,"L",418,59,"14.1",".227",359,"85.9",".356"
2017,"Longoria, Evan",139,"R",671,81,"12.1",".343",590,"87.9",".304"
2017,"Morrison, Logan",139,"L",591,465,"78.7",".344",126,"21.3",".429"
2017,"Souza Jr., Steven",139,"R",611,78,"12.8",".281",533,"87.2",".357"
2017,"Duvall, Adam",113,"R",643,203,"31.6",".344",440,"68.4",".314"
2017,"Suárez, Eugenio",113,"R",630,80,"12.7",".310",550,"87.3",".362"
2017,"Schebler, Scott",113,"L",525,256,"48.8",".313",269,"51.2",".344"
2017,"Votto, Joey",113,"L",686,162,"23.6",".413",524,"76.4",".434"
2017,"Mauer, Joe",142,"L",591,42,"7.1",".323",549,"92.9",".350"
2017,"Kepler, Max",142,"L",565,152,"26.9",".344",413,"73.1",".303"
2017,"Grossman, Robbie",142,"L",307,67,"21.8",".291",240,"78.2",".346"
2017,"Dozier, Brian",142,"R",696,262,"37.6",".391",434,"62.4",".342"
2017,"Castro, Jason",142,"L",405,120,"29.6",".371",285,"70.4",".290"
2017,"Sanó, Miguel",142,"R",476,83,"17.4",".441",393,"82.6",".339"
2017,"Valbuena, Luis",108,"L",400,270,"67.5",".320",130,"32.5",".286"
2017,"Trout, Mike",108,"R",490,51,"10.4",".438",439,"89.6",".436"
